Test Case,Intitle,Order,Tag,Sort,Sites,Result
1,java,ASC,null,relevence,StackOverFlow,TRUE
2,java,ASC,null,relevence,devops,TRUE
3,java,ASC,null,relevence,gamedev,TRUE
4,java,ASC,null,relevence,stackapps,TRUE
5,java,ASC,null,relevence,superuser,TRUE
6,java,ASC,null,relevence,sqa,TRUE
7,java,ASC,null,relevence,softwareengineering,TRUE
8,java,ASC,null,relevence,reverseengineering,TRUE
9,java,ASC,null,relevence,webapps,TRUE
10,java,ASC,null,relevence,webmasters,TRUE
11,java,ASC,null,creation,StackOverFlow,TRUE
12,java,ASC,null,creation,devops,TRUE
13,java,ASC,null,creation,gamedev,TRUE
14,java,ASC,null,creation,stackapps,TRUE
15,java,ASC,null,creation,superuser,TRUE
16,java,ASC,null,creation,sqa,TRUE
17,java,ASC,null,creation,softwareengineering,TRUE
18,java,ASC,null,creation,reverseengineering,TRUE
19,java,ASC,null,creation,webapps,TRUE
20,java,ASC,null,creation,webmasters,TRUE
21,java,ASC,null,votes,StackOverFlow,TRUE
22,java,ASC,null,votes,devops,TRUE
23,java,ASC,null,votes,gamedev,TRUE
24,java,ASC,null,votes,stackapps,TRUE
25,java,ASC,null,votes,superuser,TRUE
26,java,ASC,null,votes,sqa,TRUE
27,java,ASC,null,votes,softwareengineering,TRUE
28,java,ASC,null,votes,reverseengineering,TRUE
29,java,ASC,null,votes,webapps,TRUE
30,java,ASC,null,votes,webmasters,TRUE
31,java,ASC,null,activity,StackOverFlow,TRUE
32,java,ASC,null,activity,devops,TRUE
33,java,ASC,null,activity,gamedev,TRUE
34,java,ASC,null,activity,stackapps,TRUE
35,java,ASC,null,activity,superuser,TRUE
36,java,ASC,null,activity,sqa,TRUE
37,java,ASC,null,activity,softwareengineering,TRUE
38,java,ASC,null,activity,reverseengineering,TRUE
39,java,ASC,null,activity,webapps,TRUE
40,java,ASC,null,activity,webmasters,TRUE
41,java,ASC,java,relevence,StackOverFlow,TRUE
42,java,ASC,java,relevence,devops,TRUE
43,java,ASC,java,relevence,gamedev,TRUE
44,java,ASC,java,relevence,stackapps,TRUE
45,java,ASC,java,relevence,superuser,TRUE
46,java,ASC,java,relevence,sqa,TRUE
47,java,ASC,java,relevence,softwareengineering,TRUE
48,java,ASC,java,relevence,reverseengineering,TRUE
49,java,ASC,java,relevence,webapps,TRUE
50,java,ASC,java,relevence,webmasters,TRUE
51,java,ASC,java,creation,StackOverFlow,TRUE
52,java,ASC,java,creation,devops,TRUE
53,java,ASC,java,creation,gamedev,TRUE
54,java,ASC,java,creation,stackapps,TRUE
55,java,ASC,java,creation,superuser,TRUE
56,java,ASC,java,creation,sqa,TRUE
57,java,ASC,java,creation,softwareengineering,TRUE
58,java,ASC,java,creation,reverseengineering,TRUE
59,java,ASC,java,creation,webapps,TRUE
60,java,ASC,java,creation,webmasters,TRUE
61,java,ASC,java,votes,StackOverFlow,TRUE
62,java,ASC,java,votes,devops,TRUE
63,java,ASC,java,votes,gamedev,TRUE
64,java,ASC,java,votes,stackapps,TRUE
65,java,ASC,java,votes,superuser,TRUE
66,java,ASC,java,votes,sqa,TRUE
67,java,ASC,java,votes,softwareengineering,TRUE
68,java,ASC,java,votes,reverseengineering,TRUE
69,java,ASC,java,votes,webapps,TRUE
70,java,ASC,java,votes,webmasters,TRUE
71,java,ASC,java,activity,StackOverFlow,TRUE
72,java,ASC,java,activity,devops,TRUE
73,java,ASC,java,activity,gamedev,TRUE
74,java,ASC,java,activity,stackapps,TRUE
75,java,ASC,java,activity,superuser,TRUE
76,java,ASC,java,activity,sqa,TRUE
77,java,ASC,java,activity,softwareengineering,TRUE
78,java,ASC,java,activity,reverseengineering,TRUE
79,java,ASC,java,activity,webapps,TRUE
80,java,ASC,java,activity,webmasters,TRUE
81,java,DESC,null,relevence,StackOverFlow,TRUE
82,java,DESC,null,relevence,devops,TRUE
83,java,DESC,null,relevence,gamedev,TRUE
84,java,DESC,null,relevence,stackapps,TRUE
85,java,DESC,null,relevence,superuser,TRUE
86,java,DESC,null,relevence,sqa,TRUE
87,java,DESC,null,relevence,softwareengineering,TRUE
88,java,DESC,null,relevence,reverseengineering,TRUE
89,java,DESC,null,relevence,webapps,TRUE
90,java,DESC,null,relevence,webmasters,TRUE
91,java,DESC,null,creation,StackOverFlow,TRUE
92,java,DESC,null,creation,devops,TRUE
93,java,DESC,null,creation,gamedev,TRUE
94,java,DESC,null,creation,stackapps,TRUE
95,java,DESC,null,creation,superuser,TRUE
96,java,DESC,null,creation,sqa,TRUE
97,java,DESC,null,creation,softwareengineering,TRUE
98,java,DESC,null,creation,reverseengineering,TRUE
99,java,DESC,null,creation,webapps,TRUE
100,java,DESC,null,creation,webmasters,TRUE
101,java,DESC,null,votes,StackOverFlow,TRUE
102,java,DESC,null,votes,devops,TRUE
103,java,DESC,null,votes,gamedev,TRUE
104,java,DESC,null,votes,stackapps,TRUE
105,java,DESC,null,votes,superuser,TRUE
106,java,DESC,null,votes,sqa,TRUE
107,java,DESC,null,votes,softwareengineering,TRUE
108,java,DESC,null,votes,reverseengineering,TRUE
109,java,DESC,null,votes,webapps,TRUE
110,java,DESC,null,votes,webmasters,TRUE
111,java,DESC,null,activity,StackOverFlow,TRUE
112,java,DESC,null,activity,devops,TRUE
113,java,DESC,null,activity,gamedev,TRUE
114,java,DESC,null,activity,stackapps,TRUE
115,java,DESC,null,activity,superuser,TRUE
116,java,DESC,null,activity,sqa,TRUE
117,java,DESC,null,activity,softwareengineering,TRUE
118,java,DESC,null,activity,reverseengineering,TRUE
119,java,DESC,null,activity,webapps,TRUE
120,java,DESC,null,activity,webmasters,TRUE
121,java,DESC,java,relevence,StackOverFlow,TRUE
122,java,DESC,java,relevence,devops,TRUE
123,java,DESC,java,relevence,gamedev,TRUE
124,java,DESC,java,relevence,stackapps,TRUE
125,java,DESC,java,relevence,superuser,TRUE
126,java,DESC,java,relevence,sqa,TRUE
127,java,DESC,java,relevence,softwareengineering,TRUE
128,java,DESC,java,relevence,reverseengineering,TRUE
129,java,DESC,java,relevence,webapps,TRUE
130,java,DESC,java,relevence,webmasters,TRUE
131,java,DESC,java,creation,StackOverFlow,TRUE
132,java,DESC,java,creation,devops,TRUE
133,java,DESC,java,creation,gamedev,TRUE
134,java,DESC,java,creation,stackapps,TRUE
135,java,DESC,java,creation,superuser,TRUE
136,java,DESC,java,creation,sqa,TRUE
137,java,DESC,java,creation,softwareengineering,TRUE
138,java,DESC,java,creation,reverseengineering,TRUE
139,java,DESC,java,creation,webapps,TRUE
140,java,DESC,java,creation,webmasters,TRUE
141,java,DESC,java,votes,StackOverFlow,TRUE
142,java,DESC,java,votes,devops,TRUE
143,java,DESC,java,votes,gamedev,TRUE
144,java,DESC,java,votes,stackapps,TRUE
145,java,DESC,java,votes,superuser,TRUE
146,java,DESC,java,votes,sqa,TRUE
147,java,DESC,java,votes,softwareengineering,TRUE
148,java,DESC,java,votes,reverseengineering,TRUE
149,java,DESC,java,votes,webapps,TRUE
150,java,DESC,java,votes,webmasters,TRUE
151,java,DESC,java,activity,StackOverFlow,TRUE
152,java,DESC,java,activity,devops,TRUE
153,java,DESC,java,activity,gamedev,TRUE
154,java,DESC,java,activity,stackapps,TRUE
155,java,DESC,java,activity,superuser,TRUE
156,java,DESC,java,activity,sqa,TRUE
157,java,DESC,java,activity,softwareengineering,TRUE
158,java,DESC,java,activity,reverseengineering,TRUE
159,java,DESC,java,activity,webapps,TRUE
160,java,DESC,java,activity,webmasters,TRUE
161,armorbrahbrah,ASC,null,relevence,StackOverFlow,FALSE
162,armorbrahbrah,ASC,null,relevence,devops,FALSE
163,armorbrahbrah,ASC,null,relevence,gamedev,FALSE
164,armorbrahbrah,ASC,null,relevence,stackapps,FALSE
165,armorbrahbrah,ASC,null,relevence,superuser,FALSE
166,armorbrahbrah,ASC,null,relevence,sqa,FALSE
167,armorbrahbrah,ASC,null,relevence,softwareengineering,FALSE
168,armorbrahbrah,ASC,null,relevence,reverseengineering,FALSE
169,armorbrahbrah,ASC,null,relevence,webapps,FALSE
170,armorbrahbrah,ASC,null,relevence,webmasters,FALSE
171,armorbrahbrah,ASC,null,creation,StackOverFlow,FALSE
172,armorbrahbrah,ASC,null,creation,devops,FALSE
173,armorbrahbrah,ASC,null,creation,gamedev,FALSE
174,armorbrahbrah,ASC,null,creation,stackapps,FALSE
175,armorbrahbrah,ASC,null,creation,superuser,FALSE
176,armorbrahbrah,ASC,null,creation,sqa,FALSE
177,armorbrahbrah,ASC,null,creation,softwareengineering,FALSE
178,armorbrahbrah,ASC,null,creation,reverseengineering,FALSE
179,armorbrahbrah,ASC,null,creation,webapps,FALSE
180,armorbrahbrah,ASC,null,creation,webmasters,FALSE
181,armorbrahbrah,ASC,null,votes,StackOverFlow,FALSE
182,armorbrahbrah,ASC,null,votes,devops,FALSE
183,armorbrahbrah,ASC,null,votes,gamedev,FALSE
184,armorbrahbrah,ASC,null,votes,stackapps,FALSE
185,armorbrahbrah,ASC,null,votes,superuser,FALSE
186,armorbrahbrah,ASC,null,votes,sqa,FALSE
187,armorbrahbrah,ASC,null,votes,softwareengineering,FALSE
188,armorbrahbrah,ASC,null,votes,reverseengineering,FALSE
189,armorbrahbrah,ASC,null,votes,webapps,FALSE
190,armorbrahbrah,ASC,null,votes,webmasters,FALSE
191,armorbrahbrah,ASC,null,activity,StackOverFlow,FALSE
192,armorbrahbrah,ASC,null,activity,devops,FALSE
193,armorbrahbrah,ASC,null,activity,gamedev,FALSE
194,armorbrahbrah,ASC,null,activity,stackapps,FALSE
195,armorbrahbrah,ASC,null,activity,superuser,FALSE
196,armorbrahbrah,ASC,null,activity,sqa,FALSE
197,armorbrahbrah,ASC,null,activity,softwareengineering,FALSE
198,armorbrahbrah,ASC,null,activity,reverseengineering,FALSE
199,armorbrahbrah,ASC,null,activity,webapps,FALSE
200,armorbrahbrah,ASC,null,activity,webmasters,FALSE
201,armorbrahbrah,ASC,java,relevence,StackOverFlow,FALSE
202,armorbrahbrah,ASC,java,relevence,devops,FALSE
203,armorbrahbrah,ASC,java,relevence,gamedev,FALSE
204,armorbrahbrah,ASC,java,relevence,stackapps,FALSE
205,armorbrahbrah,ASC,java,relevence,superuser,FALSE
206,armorbrahbrah,ASC,java,relevence,sqa,FALSE
207,armorbrahbrah,ASC,java,relevence,softwareengineering,FALSE
208,armorbrahbrah,ASC,java,relevence,reverseengineering,FALSE
209,armorbrahbrah,ASC,java,relevence,webapps,FALSE
210,armorbrahbrah,ASC,java,relevence,webmasters,FALSE
211,armorbrahbrah,ASC,java,creation,StackOverFlow,FALSE
212,armorbrahbrah,ASC,java,creation,devops,FALSE
213,armorbrahbrah,ASC,java,creation,gamedev,FALSE
214,armorbrahbrah,ASC,java,creation,stackapps,FALSE
215,armorbrahbrah,ASC,java,creation,superuser,FALSE
216,armorbrahbrah,ASC,java,creation,sqa,FALSE
217,armorbrahbrah,ASC,java,creation,softwareengineering,FALSE
218,armorbrahbrah,ASC,java,creation,reverseengineering,FALSE
219,armorbrahbrah,ASC,java,creation,webapps,FALSE
220,armorbrahbrah,ASC,java,creation,webmasters,FALSE
221,armorbrahbrah,ASC,java,votes,StackOverFlow,FALSE
222,armorbrahbrah,ASC,java,votes,devops,FALSE
223,armorbrahbrah,ASC,java,votes,gamedev,FALSE
224,armorbrahbrah,ASC,java,votes,stackapps,FALSE
225,armorbrahbrah,ASC,java,votes,superuser,FALSE
226,armorbrahbrah,ASC,java,votes,sqa,FALSE
227,armorbrahbrah,ASC,java,votes,softwareengineering,FALSE
228,armorbrahbrah,ASC,java,votes,reverseengineering,FALSE
229,armorbrahbrah,ASC,java,votes,webapps,FALSE
230,armorbrahbrah,ASC,java,votes,webmasters,FALSE
231,armorbrahbrah,ASC,java,activity,StackOverFlow,FALSE
232,armorbrahbrah,ASC,java,activity,devops,FALSE
233,armorbrahbrah,ASC,java,activity,gamedev,FALSE
234,armorbrahbrah,ASC,java,activity,stackapps,FALSE
235,armorbrahbrah,ASC,java,activity,superuser,FALSE
236,armorbrahbrah,ASC,java,activity,sqa,FALSE
237,armorbrahbrah,ASC,java,activity,softwareengineering,FALSE
238,armorbrahbrah,ASC,java,activity,reverseengineering,FALSE
239,armorbrahbrah,ASC,java,activity,webapps,FALSE
240,armorbrahbrah,ASC,java,activity,webmasters,FALSE
241,armorbrahbrah,DESC,null,relevence,StackOverFlow,FALSE
242,armorbrahbrah,DESC,null,relevence,devops,FALSE
243,armorbrahbrah,DESC,null,relevence,gamedev,FALSE
